parent_process_md5,parent_process_sha1,parent_process_sha256,parent_process_creation_date,process_id,agentid,elastic_id,usernames_id,agent_id,event_type,year,month,day,hour,parent_executablepath,executable_path,computername,parent_process_owner,process_owner,process_domain,parent_process_name,process_name,tenant_id,command_line,parent_command_line
,,,,"{""int"": 27156, ""string"": null}",ff4a4def5b0da1d493849490701d35a8,wbUYenwBRALE72vTqG8q,1353.0,,user_process_execs,2021,10,13,14,c:\dir_a_j\executable_260,c:\dir_a_a86)\dir_b_ajb\dir_c_gc\executable_303,name_25,name_507,name_507,name_640,executable_260,executable_303,tenant_c,"""c:\program files (x86)\jha\autoupdater\synautoupdatemonitor.exe"" ",
,,,,"{""int"": 15572, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,60ouenwBDac3IFZA_raV,1419.0,,user_process_execs,2021,10,13,14,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\executable_166,c:\dir_a_a86)\dir_b_b\dir_c_a\dir_d_a\94dir_e_d0.992.47\executable_175,name_40,name_551,name_551,name_640,executable_166,executable_175,tenant_c,"""c:\program files (x86)\microsoft\edge\application\94.0.992.47\identity_helper.exe"" --type=utility --utility-sub-type=winrt_app_id.mojom.winrtappidservice --field-trial-handle=2064,10799080108095811046,7697790669902501289,131072 --lang=en-us --service-sandbox-type=none --mojo-platform-channel-handle=7268 /prefetch:8",
,,,,"{""int"": 12256, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,BsRhe3wBRALE72vTinfK,94.0,,user_process_execs,2021,10,13,20,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_170,name_3,name_490,name_446,name_640,executable_163,executable_170,tenant_c,,
,,,,"{""int"": 13552, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,g3PcenwBXiyPKgRrlJ-B,,,user_process_execs,2021,10,13,18,c:\dir_a_c\dir_b_h\dir_c_aa\dir_d_e\executable_206,c:\dir_a_j\dir_b_j32\executable_195,name_29,name_478,name_478,name_640,executable_206,executable_195,tenant_c,"schtasks.exe /change /tn ""microsoft\office\office serviceability manager"" /enable",
,,,,"{""int"": null, ""string"": """"}",c63a7dd8bcde9802fc2b2d73aa0096ca,UUSef3wBxoofP3v-GxTa,158.0,,user_process_execs,2021,10,14,16,,,name_120,,,,,,tenant_e,,
,,,,"{""int"": 10620, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,8500fnwBNBIFWOYHU5H1,,,user_process_execs,2021,10,14,9,c:\dir_a_j\dir_b_j32\executable_217,c:\dir_a_j\dir_b_j32\executable_217,name_54,name_558,name_558,name_640,executable_217,executable_217,tenant_c,c:\windows\system32\compattelrunner.exe -m:appraiser.dll -f:doscheduledtelemetryrun -cv:azl5g3kg9eexq/tb.1,
,,,,"{""int"": 17032, ""string"": null}",60ba53ba2cf7602fac7467b672fa4193,0RLlf3wBjd7GdOioM4u4,255.0,,user_process_execs,2021,10,14,17,c:\dir_a_j\dir_b_j32\executable_408,c:\dir_a_j\dir_b_j32\executable_179,name_46,name_539,name_509,name_640,executable_408,executable_179,tenant_c,"""c:\windows\system32\searchprotocolhost.exe"" global\usgthrfltpipemssgthrpipe_s-1-5-21-2783567067-521966388-2690237990-866632_ global\usgthrctrlfltpipemssgthrpipe_s-1-5-21-2783567067-521966388-2690237990-866632 1 -2147483646 ""software\microsoft\windows search"" ""mozilla/4.0 (compatible; msie 6.0; windows nt; ms search 4.0 robot)"" ""c:\programdata\microsoft\search\data\temp\usgthrsvc"" ""downleveldaemon""  ""1""",
,,,,"{""int"": null, ""string"": ""13184""}",f78ea8b7cf43a0811ffdf7389527eb32,-J35eHwBB0gvw5rfLAgw,77.0,,user_process_execs,2021,10,13,9,,c:\dir_a_b\dir_b_aj\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,name_6,,name_447,name_641,asdf_0x195ab829c_executable_5,executable_160,tenant_c,"""C:\Users\awayne\AppData\Local\Microsoft\Teams\current\Teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1664,15439705635498250117,2907180036828620322,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path=""C:\Users\awayne\AppData\Local\Microsoft\Teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=777 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5080 /prefetch:1",
,,,,"{""int"": null, ""string"": ""19268""}",2f167adb3ff4366bc93fad3880cee9cd,dUHegHwBxoofP3v-PvgU,48.0,,user_process_execs,2021,10,14,22,,c:\dir_a_b\dir_b_id\dir_c_i\dir_d_d\dir_e_j\dir_f_j\dir_g_j\executable_160,test_111b2e08-c707-3601-9773-eba39ab73b39_name_68,,name_531,name_641,asdf_0x195ab829c_executable_5,executable_160,tenant_c,"""C:\Users\JCortney\AppData\Local\Microsoft\Teams\current\Teams.exe"" --type=renderer --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --field-trial-handle=1728,4528031201134054199,12726439989409665987,131072 --enable-features=ContextBridgeMutability,WebComponentsV0Enabled,WinUseBrowserSpellChecker,WinUseHybridSpellChecker --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess --lang=en-US --enable-wer --ms-teams-less-cors=522133263 --app-user-model-id=com.squirrel.Teams.Teams --app-path=""C:\Users\JCortney\AppData\Local\Microsoft\Teams\current\resources\app.asar"" --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=46 --no-v8-untrusted-code-mitigations --mojo-platform-channel-handle=5312 /prefetch:1",
,,,,"{""int"": 16532, ""string"": null}",e28d3fa8be3fed48edacc9228e46668a,9bw2e3wBXiyPKgRrWHRm,1259.0,,user_process_execs,2021,10,13,19,c:\dir_a_j\dir_b_j32\executable_163,c:\dir_a_j\dir_b_j32\executable_165,name_26,name_496,name_500,name_640,executable_163,executable_165,tenant_c,"""c:\windows\system32\backgroundtaskhost.exe"" -servername:backgroundtaskhost.webaccountprovider",
